,jobid,electron_threshold,electron_softmax,primary_softmax,vertex_threshold,muon_threshold,signal_count,background_count,signal_count_all,purity,efficiency,f1_score,sensitivity
120,120,225.0,0.8,0.8,,0.0,267,70,379,0.7922848664688428,0.7044854881266491,0.745810055865922,14.544416775765916
121,121,300.0,0.7,0.99,2.0,100.0,220,38,351,0.8527131782945736,0.6267806267806267,0.7224958949096879,13.696601740023187
122,122,350.0,0.8,0.8,3.0,100.0,209,41,331,0.836,0.6314199395770392,0.7194492254733218,13.218320619503826
123,123,0.0,0.6,0.99,,0.0,308,116,409,0.7264150943396226,0.7530562347188264,0.7394957983193277,14.957802280301868
124,124,225.0,,0.8,3.0,25.0,273,71,379,0.7936046511627907,0.7203166226912929,0.7551867219917012,14.719173542269344
125,125,350.0,,0.95,3.0,0.0,238,51,331,0.8235294117647058,0.7190332326283988,0.7677419354838709,14.0
126,126,250.0,0.7,,3.5,10.0,251,55,366,0.8202614379084967,0.6857923497267759,0.7470238095238095,14.34871495692324
127,127,250.0,0.9,0.9,3.5,25.0,196,33,366,0.8558951965065502,0.5355191256830601,0.6588235294117648,12.95204456891976
128,128,400.0,0.6,0.9,3.5,50.0,220,41,317,0.842911877394636,0.694006309148265,0.7612456747404844,13.617658132983804
129,129,350.0,0.9,0.95,3.0,50.0,174,32,331,0.8446601941747572,0.525679758308157,0.6480446927374302,12.123154448674148
130,130,100.0,0.6,0.8,2.0,25.0,273,82,403,0.7690140845070422,0.6774193548387096,0.7203166226912928,14.489335563455713
131,131,500.0,,0.8,3.0,0.0,201,39,274,0.8375,0.7335766423357665,0.7821011673151751,12.974494209794846
132,132,250.0,0.8,0.8,3.5,25.0,233,42,366,0.8472727272727273,0.6366120218579235,0.7269890795631826,14.050428657323783
133,133,250.0,,0.9,2.0,,251,67,366,0.789308176100629,0.6857923497267759,0.7339181286549707,14.075381067710312
134,134,500.0,0.6,0.9,,,223,73,274,0.7533783783783784,0.8138686131386861,0.7824561403508772,12.96161171993585
135,135,250.0,,0.99,4.0,50.0,261,63,366,0.8055555555555556,0.7131147540983607,0.7565217391304347,14.5
136,136,200.0,0.8,0.99,3.0,10.0,243,41,386,0.8556338028169014,0.6295336787564767,0.7253731343283581,14.419397147055317
137,137,300.0,0.7,,4.0,,243,55,351,0.8154362416107382,0.6923076923076923,0.7488443759630199,14.076612046632862
138,138,0.0,0.8,,,0.0,307,202,409,0.6031434184675835,0.7506112469437652,0.6688453159041394,13.607535760362643
139,139,300.0,0.7,,,0.0,269,79,351,0.7729885057471264,0.7663817663817664,0.7696709585121603,14.419913593568339
140,140,350.0,0.6,0.8,2.0,25.0,217,39,331,0.84765625,0.6555891238670695,0.7393526405451448,13.5625
141,141,400.0,,,3.5,50.0,225,48,317,0.8241758241758241,0.7097791798107256,0.7627118644067797,13.617619485048056
142,142,200.0,0.6,0.99,4.0,100.0,272,58,386,0.8242424242424242,0.7046632124352331,0.7597765363128492,14.973107205718504
143,143,225.0,0.9,0.9,,,222,52,379,0.8102189781021898,0.5857519788918206,0.6799387442572742,13.411510471929928
144,144,500.0,0.9,0.9,5.0,50.0,151,32,274,0.825136612021858,0.551094890510949,0.6608315098468271,11.162241191414049
145,145,400.0,0.7,0.8,,25.0,234,71,317,0.7672131147540984,0.7381703470031545,0.7524115755627009,13.398801022944518
146,146,200.0,0.7,,2.0,100.0,250,50,386,0.8333333333333334,0.6476683937823834,0.7288629737609329,14.433756729740642
147,147,100.0,0.8,0.8,2.0,25.0,250,46,403,0.8445945945945946,0.6203473945409429,0.7153075822603719,14.53095484297741
148,148,200.0,,0.99,,50.0,308,102,386,0.751219512195122,0.7979274611398963,0.7738693467336683,15.21103578840368
149,149,400.0,0.9,0.8,,100.0,182,47,317,0.7947598253275109,0.5741324921135647,0.6666666666666666,12.026898528282633
150,150,0.0,,0.95,3.0,25.0,300,131,409,0.6960556844547564,0.7334963325183375,0.7142857142857144,14.450491525772641
151,151,300.0,0.6,0.95,5.0,10.0,256,52,351,0.8311688311688312,0.7293447293447294,0.7769347496206374,14.586953786833657
152,152,400.0,0.9,,5.0,10.0,167,33,317,0.835,0.526813880126183,0.6460348162475823,11.808683245815343
153,153,250.0,0.9,0.9,5.0,100.0,201,37,366,0.8445378151260504,0.5491803278688525,0.6655629139072848,13.028894843398504
154,154,0.0,0.9,0.8,4.0,100.0,229,60,409,0.7923875432525952,0.5599022004889975,0.6561604584527221,13.470588235294118
155,155,0.0,0.7,0.8,3.5,25.0,290,123,409,0.7021791767554479,0.7090464547677262,0.7055961070559611,14.269967107848563
156,156,200.0,0.7,0.95,3.0,50.0,267,51,386,0.839622641509434,0.6917098445595855,0.7585227272727272,14.972616514257583
157,157,500.0,0.6,0.99,2.0,0.0,183,31,274,0.8551401869158879,0.6678832116788321,0.75,12.509622464551338
